Número,Área,Cliente,Atribuído a,Prioridade,Subcategoria,Tipo,Versão do Produto,Categoria,Data de Envio,Visibilidade,Atualizado,Resumo,Estado,Resolução,Corrigido na Versão,Data prevista original
0089201,TI,lucio.junior,lucio.junior,P4,Middleware,Requisição,,SERVIDOR,2021-01-22 15:27,público,2021-01-22 15:32,Workflow Mailer,Resolvido,corrigido,,2021-01-29 15:27
0087703,TI,lucio.junior,lucio.junior,P4,Middleware,Requisição,,SERVIDOR,2021-01-13 09:33,público,2021-01-22 15:25,Criar scripts de backup para TD215,Aguardando atendimento,aberto,,2021-02-06 09:33
0086413,TI,lucio.junior,lucio.junior,P4,Middleware,Requisição,,SERVIDOR,2021-01-06 14:41,público,2021-01-22 15:25,Ambiente Zabbix,Resolvido,corrigido,,2021-01-20 14:41
0087958,TI,lucio.junior,N3_MTX_TECHOPS_ADMUX,P4,Middleware,Requisição,,SERVIDOR,2021-01-14 10:26,público,2021-01-22 13:17,Montagem de área para backup,Aguardando atendimento,aberto,,2021-01-21 10:26
0089048,TI,lucio.junior,lucio.junior,P4,Middleware,Requisição,,SERVIDOR,2021-01-21 15:26,público,2021-01-21 15:33,Bancos iniciados com pfile,Resolvido,corrigido,,2021-01-28 15:26
0089038,TI,lucio.junior,lucio.junior,P4,Middleware,Requisição,,SERVIDOR,2021-01-21 14:47,público,2021-01-21 14:53,Relatório dos bancos de produção com área de archive incorreta,Resolvido,corrigido,,2021-01-28 14:47
0089027,TI,lucio.junior,lucio.junior,P4,Middleware,Requisição,,SERVIDOR,2021-01-21 14:21,público,2021-01-21 14:26,Limpeza de APPL_TMP,Resolvido,corrigido,,2021-01-28 14:21
0089016,TI,lucio.junior,lucio.junior,P4,Middleware,Requisição,,SERVIDOR,2021-01-21 14:01,público,2021-01-21 14:03,sc01zerpp01 99%,Resolvido,corrigido,,2021-01-28 14:01
0082485,TI,lucio.junior,lucio.junior,P4,Middleware,Requisição,,SERVIDOR,2020-12-10 14:21,público,2021-01-18 21:36,Zabbix TD215,Resolvido,corrigido,,2020-12-17 14:21
0080938,TI,lucio.junior,lucio.junior,P4,Middleware,Requisição,,SERVIDOR,2020-12-02 14:53,público,2021-01-18 21:36,Implementação de Zabbix no ambiente TD153,Resolvido,corrigido,,2020-12-09 14:53
0076069,TI,lucio.junior,lucio.junior,P4,Middleware,Requisição,,SERVIDOR,2020-11-09 13:44,público,2021-01-18 21:33,Criar VM Windows,Resolvido,corrigido,,2020-11-23 13:44
0087866,TI,lucio.junior,kaynan.silva_MATRIX,P4,,Requisição,,SERVIDOR,2021-01-13 16:42,público,2021-01-15 14:34,Backup EBS HIST,Resolvido,aberto,,2021-01-20 16:42
0088168,TI,lucio.junior,lucio.junior,P4,Middleware,Requisição,,SISTEMAS CONTABEIS / FINANCEIROS / FISCAIS,2021-01-15 11:20,público,2021-01-15 11:23,LENTIDÃO NO FTF,Resolvido,corrigido,,2021-01-22 11:20
0082791,TI,lucio.junior,lucio.junior,P4,Middleware,Requisição,,SERVIDOR,2020-12-11 14:39,público,2021-01-14 15:50,Implementação de Rotina de backup no Automic,Resolvido,corrigido,,2020-12-18 14:39
